company_name,cikcode,director_name,software_background,start_date,end_date
1ST SOURCE CORP,34782,ALLISON N. EGIDI,f,2011-03-14,2017-03-14
1ST SOURCE CORP,34782,ANDREA G. SHORT,f,2023-03-10,2025-03-14
1ST SOURCE CORP,34782,CHRISTOPHER J. MURPHY III,t,2008-03-14,2025-03-14
1ST SOURCE CORP,34782,CHRISTOPHER J. MURPHY IV,f,2011-03-14,2025-03-14
1ST SOURCE CORP,34782,CRAIG A. KAPSON,f,2008-03-14,2017-03-14
1ST SOURCE CORP,34782,"DANE A. MILLER, PH.D.",f,2008-03-14,2010-03-12
1ST SOURCE CORP,34782,DANIEL B. FITZPATRICK,f,2008-03-14,2025-03-14
1ST SOURCE CORP,34782,ISAAC P. TORRES,t,2023-03-10,2025-03-14
1ST SOURCE CORP,34782,ISSAC P. TORRES,f,2022-03-11,2022-03-11
1ST SOURCE CORP,34782,JAMES R. SEITZ,f,2021-03-12,2021-03-12
1ST SOURCE CORP,34782,JOHN F. AFFLECK-GRAVES,t,2020-03-13,2025-03-14
1ST SOURCE CORP,34782,JOHN T. PHAIR,f,2008-03-14,2021-03-12
1ST SOURCE CORP,34782,LAWRENCE E. HILER,f,2008-03-14,2012-03-12
1ST SOURCE CORP,34782,LISA W. HERSHMAN,f,2018-03-09,2019-03-08
1ST SOURCE CORP,34782,MARK D. SCHWABERO,t,2008-03-14,2025-03-14
1ST SOURCE CORP,34782,MELODY BIRMINGHAM,t,2020-03-13,2025-03-14
1ST SOURCE CORP,34782,MELODY BIRMINGHAM-BYRD,f,2018-03-09,2019-03-08
1ST SOURCE CORP,34782,NAJEEB A. KHAN,t,2011-03-14,2019-03-08
1ST SOURCE CORP,34782,REX MARTIN,f,2008-03-14,2020-03-13
1ST SOURCE CORP,34782,RONDA SHREWSBURY,f,2022-03-11,2025-03-14
1ST SOURCE CORP,34782,RONDA SHREWSBURY WEYBRIGHT,f,2021-03-12,2021-03-12
1ST SOURCE CORP,34782,TERRY L. GERBER,f,2008-03-14,2010-03-12
1ST SOURCE CORP,34782,TIMOTHY K. OZARK,f,2008-03-14,2025-03-14
1ST SOURCE CORP,34782,TODD F. SCHURZ,t,2021-03-12,2025-03-14
1ST SOURCE CORP,34782,TRACY D. GRAHAM,t,2012-03-12,2025-03-14
1ST SOURCE CORP,34782,VINOD M. KHILNANI,f,2013-03-25,2022-03-11
1ST SOURCE CORP,34782,WELLINGTON D. JONES III,f,2008-03-14,2013-03-25
1ST SOURCE CORP,34782,WILLIAM P. JOHNSON,f,2008-03-14,2011-03-14
3M CO,66740,AMY E. HOOD,t,2018-03-21,2022-03-23
3M CO,66740,DAMBISA F. MOYO,f,2019-03-27,2022-03-23
3M CO,66740,DAVID B. DILLON,f,2018-03-21,2022-03-23
3M CO,66740,EDWARD M. LIDDY,f,2018-03-21,2019-03-27
3M CO,66740,GREGORY R. PAGE,f,2018-03-21,2022-03-23
3M CO,66740,HERBERT L. HENKEL,f,2018-03-21,2020-03-25
3M CO,66740,INGE G. THULIN,f,2018-03-21,2018-03-21
3M CO,66740,JAMES R. FITTERLING,f,2022-03-23,2022-03-23
3M CO,66740,MICHAEL F. ROMAN,t,2018-03-21,2022-03-23
3M CO,66740,MICHAEL L. ESKEW,f,2018-03-21,2022-03-23
3M CO,66740,MUHTAR KENT,f,2018-03-21,2022-03-23
3M CO,66740,PAMELA J. CRAIG,f,2019-03-27,2022-03-23
3M CO,66740,PATRICIA A. WOERTZ,f,2018-03-21,2020-03-25
3M CO,66740,SONDRA L. BARBOUR,t,2018-03-21,2018-03-21
3M CO,66740,SUZAN KEREERE,t,2022-03-23,2022-03-23
3M CO,66740,"THOMAS ""TONY"" K. BROWN",f,2018-03-21,2018-03-21
3M CO,66740,THOMAS “TONY” K. BROWN,f,2019-03-27,2022-03-23
AAR CORP,1750,ANTHONY K. ANDERSON,f,2018-08-31,2021-08-18
AAR CORP,1750,BILLY J. NOLEN,t,2024-08-06,2024-08-06
AAR CORP,1750,DAVID P. STORCH,f,2018-08-31,2021-08-18
AAR CORP,1750,DUNCAN J. MCNABB,f,2020-08-28,2024-08-06
AAR CORP,1750,ELLEN M. LORD,t,2021-08-18,2024-08-06
AAR CORP,1750,"H. JOHN GILBERTSON, JR.",f,2020-08-28,2021-08-18
AAR CORP,1750,JAMES E. GOODWIN,f,2013-08-30,2021-08-18
AAR CORP,1750,JEFFREY N. EDWARDS,f,2024-08-06,2024-08-06
AAR CORP,1750,JENNIFER L. VOGEL,f,2018-08-31,2024-08-06
AAR CORP,1750,JESSICA A. GARASCIA,f,2025-04-03,2025-04-03
AAR CORP,1750,JOHN M. HOLMES,f,2019-08-15,2024-08-06
AAR CORP,1750,JOHN W. DIETRICH,f,2023-08-08,2024-08-06
AAR CORP,1750,MARC J. WALFISH,f,2013-08-30,2024-08-06
AAR CORP,1750,MICHAEL R. BOYCE,f,2018-08-31,2024-08-06
AAR CORP,1750,NORMAN R. BOBINS,f,2013-08-30,2013-08-30
AAR CORP,1750,PATRICK J. KELLY,t,2014-08-29,2014-08-29
AAR CORP,1750,PETER PACE,t,2014-08-29,2024-08-06
AAR CORP,1750,ROBERT F. LEDUC,f,2020-08-28,2024-08-06
AAR CORP,1750,RONALD B. WOODARD,f,2014-08-29,2014-08-29
AAR CORP,1750,RONALD R. FOGLEMAN,f,2013-08-30,2013-08-30
AAR CORP,1750,TIMOTHY J. ROMENESKO,f,2014-08-29,2014-08-29
ABBOTT LABORATORIES,1800,CLAIRE BABINEAUX- FONTENOT,f,2023-03-17,2023-03-17
ABBOTT LABORATORIES,1800,CLAIRE BABINEAUX-FONTENOT,f,2024-03-15,2025-03-14
ABBOTT LABORATORIES,1800,DANIEL J. STARKS,f,2022-03-18,2025-03-14
ABBOTT LABORATORIES,1800,DARREN W. MCDEW,f,2022-03-18,2025-03-14
ABBOTT LABORATORIES,1800,GLENN F. TILTON,f,2022-03-18,2022-03-18
ABBOTT LABORATORIES,1800,JOHN G. STRATTON,t,2022-03-18,2025-03-14
ABBOTT LABORATORIES,1800,MICHAEL F. ROMAN,t,2022-03-18,2025-03-14
ABBOTT LABORATORIES,1800,MICHAEL G. O’GRADY,f,2023-03-17,2025-03-14
ABBOTT LABORATORIES,1800,MICHELLE A. KUMBIER,f,2022-03-18,2025-03-14
ABBOTT LABORATORIES,1800,NANCY MCKINSTRY,t,2022-03-18,2025-03-14
ABBOTT LABORATORIES,1800,PAOLA GONZALEZ,f,2022-03-18,2025-03-14
ABBOTT LABORATORIES,1800,ROBERT B. FORD,f,2022-03-18,2025-03-14
ABBOTT LABORATORIES,1800,"ROBERT J. ALPERN, M.D.",f,2022-03-18,2025-03-14
ABBOTT LABORATORIES,1800,"SALLY E. BLOUNT, PH.D.",f,2022-03-18,2025-03-14
ABBOTT LABORATORIES,1800,WILLIAM A. OSBORN,f,2022-03-18,2022-03-18
ABEONA THERAPEUTICS INC.,318306,BRENDAN O’MALLEY,f,2022-05-12,2022-05-12
ABEONA THERAPEUTICS INC.,318306,"BRENDAN O'MALLEY, J.D., PH.D.",f,2022-07-11,2022-07-11
ABEONA THERAPEUTICS INC.,318306,CHRISTINE BERNI SILVERSTEIN,f,2019-04-11,2019-04-11
ABEONA THERAPEUTICS INC.,318306,CHRISTINE SILVERSTEIN,f,2020-04-10,2024-11-12
ABEONA THERAPEUTICS INC.,318306,DAVID P. LUCI,f,2007-04-13,2009-04-22
ABEONA THERAPEUTICS INC.,318306,"DAVID P. NOWOTNIK, PH.D.",t,2010-04-16,2012-04-16
ABEONA THERAPEUTICS INC.,318306,DONALD A. WUCHTERL,f,2022-05-12,2024-11-12
ABEONA THERAPEUTICS INC.,318306,EDWARD CARR,f,2019-04-11,2022-05-12
ABEONA THERAPEUTICS INC.,318306,"ESTEBAN CVITKOVIC, M.D.",f,2007-04-13,2012-04-16
ABEONA THERAPEUTICS INC.,318306,FAITH L. CHARLES,f,2021-04-09,2024-11-12
ABEONA THERAPEUTICS INC.,318306,"F. CARSTEN THIEL, PH.D.",f,2018-04-10,2018-04-10
