id,url,name,age,role,compensation,source_excerpt,created_at,gender
2,https://www.sec.gov/Archives/edgar/data/6281/000000628123000016/a2023analogdevicenps.htm,Vincent Roche,62,Chief Executive Officer and Chair of the Board of Directors,0,"Vincent Roche, 62, Director since: 2013, Chief Executive Officer and Chair of the Board of Directors, Committee(s): Corporate Development",2025-05-16 14:46:58.618229,
3,https://www.sec.gov/Archives/edgar/data/6281/000000628123000016/a2023analogdevicenps.htm,James A. Champy,80,Presiding Director,364861,"James A. Champy, 80, Director since: 2003, Presiding Director, Committee(s): Nominating and Corporate Governance, Fiscal Year 2022 Director Compensation: $364,861",2025-05-16 14:46:58.618229,
4,https://www.sec.gov/Archives/edgar/data/6281/000000628123000016/a2023analogdevicenps.htm,André Andonian,60,Director,195090,"André Andonian, 60, Director since: 2022, Committee(s): Nominating and Corporate Governance; Corporate Development, Fiscal Year 2022 Director Compensation: $195,090",2025-05-16 14:46:58.618229,
5,https://www.sec.gov/Archives/edgar/data/6281/000000628123000016/a2023analogdevicenps.htm,Anantha P. Chandrakasan,54,Director,328611,"Anantha P. Chandrakasan, 54, Director since: 2019, Committee(s): Nominating and Corporate Governance; Corporate Development, Fiscal Year 2022 Director Compensation: $328,611",2025-05-16 14:46:58.618229,
6,https://www.sec.gov/Archives/edgar/data/6281/000000628123000016/a2023analogdevicenps.htm,Edward H. Frank,66,Director,341307,"Edward H. Frank, 66, Director since: 2014, Committee(s): Compensation and Talent; Corporate Development, Fiscal Year 2022 Director Compensation: $341,307",2025-05-16 14:46:58.618229,
7,https://www.sec.gov/Archives/edgar/data/6281/000000628123000016/a2023analogdevicenps.htm,Laurie H. Glimcher,71,Director,318611,"Laurie H. Glimcher, 71, Director since: 2020, Committee(s): Compensation and Talent, Fiscal Year 2022 Director Compensation: $318,611",2025-05-16 14:46:58.618229,
8,https://www.sec.gov/Archives/edgar/data/6281/000000628123000016/a2023analogdevicenps.htm,Karen M. Golz,68,Director,338611,"Karen M. Golz, 68, Director since: 2018, Committee(s): Audit, Fiscal Year 2022 Director Compensation: $338,611",2025-05-16 14:46:58.618229,
9,https://www.sec.gov/Archives/edgar/data/6281/000000628123000016/a2023analogdevicenps.htm,Mercedes Johnson,68,Director,323611,"Mercedes Johnson, 68, Director since: 2021, Committee(s): Audit, Fiscal Year 2022 Director Compensation: $323,611",2025-05-16 14:46:58.618229,
10,https://www.sec.gov/Archives/edgar/data/6281/000000628123000016/a2023analogdevicenps.htm,Kenton J. Sicchitano,78,Director,318611,"Kenton J. Sicchitano, 78, Director since: 2003, Committee(s): Nominating and Corporate Governance, Fiscal Year 2022 Director Compensation: $318,611",2025-05-16 14:46:58.618229,
11,https://www.sec.gov/Archives/edgar/data/6281/000000628123000016/a2023analogdevicenps.htm,Ray Stata,88,Director,378446,"Ray Stata, 88, Director since: 1965, Committee(s): None, Fiscal Year 2022 Director Compensation: $378,446",2025-05-16 14:46:58.618229,
12,https://www.sec.gov/Archives/edgar/data/6281/000000628123000016/a2023analogdevicenps.htm,Susie Wee,53,Director,318611,"Susie Wee, 53, Director since: 2019, Committee(s): Compensation and Talent, Fiscal Year 2022 Director Compensation: $318,611",2025-05-16 14:46:58.618229,
13,https://www.sec.gov/Archives/edgar/data/6955/000000695524000048/epac-20241218.htm,Alfredo Altavilla,61,Independent Director,238734,"Alfredo Altavilla
Former Executive Chairman of Italia Trasporto Aereo S.p.A.
INDEPENDENT DIRECTOR
Age: 61
Director since: 2018
Enerpac Board Committees:
• Audit
• Compensation
...The non-employee directors who served on the Board during fiscal 2024 received a combination of cash payments and equity-based compensation as shown in the table below and were also reimbursed for actual out-of-pocket expenses incurred in attending meetings.
Alfredo Altavilla  Annual Retainer $87,500  Committee Fees $31,250  Chair Fee —  Stock Awards $119,984  Total $238,734  Outstanding Stock Options at Fiscal Year End —  Non-vested Restricted Stock at Fiscal Year End 3,785",2025-05-16 14:46:59.593448,
14,https://www.sec.gov/Archives/edgar/data/6955/000000695524000048/epac-20241218.htm,Judy L. Altmaier,63,Independent Director,238734,"Judy L. Altmaier
Former President of Exmark Manufacturing Co.
INDEPENDENT DIRECTOR
Age: 63
Director since: 2019
Enerpac Board Committees:
• Audit
• Compensation
...The non-employee directors who served on the Board during fiscal 2024 received a combination of cash payments and equity-based compensation as shown in the table below and were also reimbursed for actual out-of-pocket expenses incurred in attending meetings.
Judy L. Altmaier  Annual Retainer $87,500  Committee Fees $31,250  Chair Fee —  Stock Awards $119,984  Total $238,734  Outstanding Stock Options at Fiscal Year End —  Non-vested Restricted Stock at Fiscal Year End 3,785",2025-05-16 14:46:59.593448,
15,https://www.sec.gov/Archives/edgar/data/6955/000000695524000048/epac-20241218.htm,J. Palmer Clarkson,67,Independent Director,232484,"J. Palmer Clarkson
Former President and Chief Executive Officer of Bridgestone HosePower LLC
INDEPENDENT DIRECTOR
Age: 67
Director since: 2018
Enerpac Board Committees:
• Compensation
• Governance and Sustainability
...The non-employee directors who served on the Board during fiscal 2024 received a combination of cash payments and equity-based compensation as shown in the table below and were also reimbursed for actual out-of-pocket expenses incurred in attending meetings.
J. Palmer Clarkson  Annual Retainer $87,500  Committee Fees $25,000  Chair Fee —  Stock Awards $119,984  Total $232,484  Outstanding Stock Options at Fiscal Year End —  Non-vested Restricted Stock at Fiscal Year End 3,785",2025-05-16 14:46:59.593448,
16,https://www.sec.gov/Archives/edgar/data/6955/000000695524000048/epac-20241218.htm,Danny L. Cunningham,69,Independent Director,257484,"Danny L. Cunningham
Former Partner and Chief Risk Officer of Deloitte & Touche, LLP
INDEPENDENT DIRECTOR
Age: 69
Director since: 2016
Enerpac Board Committees:
• Audit, Chair
• Governance and Sustainability
...The non-employee directors who served on the Board during fiscal 2024 received a combination of cash payments and equity-based compensation as shown in the table below and were also reimbursed for actual out-of-pocket expenses incurred in attending meetings.
Danny L. Cunningham  Annual Retainer $87,500  Committee Fees $31,250  Chair Fee $18,750  Stock Awards $119,984  Total $257,484  Outstanding Stock Options at Fiscal Year End 2,930  Non-vested Restricted Stock at Fiscal Year End 3,785",2025-05-16 14:46:59.593448,
102,https://www.sec.gov/Archives/edgar/data/2098/000119312525061382/d892701ddef14a.htm,Walter C. Johnsen,74,Chairman of the Board and Chief Executive Officer,1231621,"Walter C. Johnsen (age 74) Chairman of the Board and Chief Executive Officer of the Company since January 1, 2007; ... The following table sets forth information concerning the compensation of our NEOs ... Walter C. Johnsen 2024 Total $1,231,621",2025-05-16 16:29:17.758986,male
17,https://www.sec.gov/Archives/edgar/data/6955/000000695524000048/epac-20241218.htm,E. James Ferland,58,"Non-Executive Chairman of the Board, Independent Director",332498,"E. James Ferland
Former Chairman and Chief Executive Officer of Babcock & Wilcox Enterprises, Inc.
INDEPENDENT DIRECTOR
NON-EXECUTIVE CHAIRMAN OF THE BOARD
Age: 58
Director since: 2014
Enerpac Board Committees:
• Governance and Sustainability, Chair
...The non-employee directors who served on the Board during fiscal 2024 received a combination of cash payments and equity-based compensation as shown in the table below and were also reimbursed for actual out-of-pocket expenses incurred in attending meetings.
E. James Ferland, Jr.  Annual Retainer $87,500  Committee Fees $12,500  Chair Fee $12,500  Stock Awards $219,998  Total $332,498  Outstanding Stock Options at Fiscal Year End 9,092  Non-vested Restricted Stock at Fiscal Year End 6,940",2025-05-16 14:46:59.593448,
